conductivity,damVolume,frequency,station,temperature,timestamp,waterDepth,waterLevel
10235.4,0,weekly,Θέρμη,14.8,2024-03-01 00:00:00,8.45,1.12
10827.2,0,weekly,Θέρμη,15.2,2024-03-02 00:00:00,8.51,1.08
10655.3,0,weekly,Θέρμη,15.0,2024-03-03 00:00:00,8.47,1.10
11028.5,0,weekly,Θέρμη,15.4,2024-03-04 00:00:00,8.42,1.11
10911.7,0,weekly,Θέρμη,14.9,2024-03-05 00:00:00,8.55,1.07
10733.8,0,weekly,Θέρμη,15.1,2024-03-06 00:00:00,8.49,1.09
10562.4,0,weekly,Θέρμη,14.7,2024-03-07 00:00:00,8.50,1.10
10987.9,0,weekly,Θέρμη,15.3,2024-03-08 00:00:00,8.43,1.12
10844.3,0,weekly,Θέρμη,14.8,2024-03-09 00:00:00,8.46,1.08
10677.2,0,weekly,Θέρμη,15.0,2024-03-10 00:00:00,8.52,1.09
10788.4,0,weekly,Θέρμη,15.2,2024-03-11 00:00:00,8.54,1.06
10453.1,0,weekly,Θέρμη,14.9,2024-03-12 00:00:00,8.47,1.10
11012.5,0,weekly,Θέρμη,15.1,2024-03-13 00:00:00,8.44,1.11
10965.3,0,weekly,Θέρμη,15.3,2024-03-14 00:00:00,8.48,1.08
11122.7,0,weekly,Θέρμη,15.0,2024-03-15 00:00:00,8.53,1.10
10467.8,0,weekly,Θέρμη,14.7,2024-03-16 00:00:00,8.50,1.09
10823.5,0,weekly,Θέρμη,15.2,2024-03-17 00:00:00,8.45,1.07
