date,otaId,otaName,otaNameEn,plots
2024-03-01,101,Περιοχή Α,Area A,25
2024-03-02,102,Περιοχή Β,Area B,30
2024-03-03,103,Περιοχή Γ,Area C,18
2024-03-04,104,Περιοχή Δ,Area D,22
2024-03-05,105,Περιοχή Ε,Area E,28
2024-03-06,106,Περιοχή Ζ,Area Z,35
2024-03-07,107,Περιοχή Η,Area H,20
2024-03-08,108,Περιοχή Θ,Area I,25
2024-03-09,109,Περιοχή Ι,Area J,30
2024-03-10,110,Περιοχή Κ,Area K,40
2024-03-11,111,Περιοχή Λ,Area L,15
2024-03-12,112,Περιοχή Μ,Area M,20
2024-03-13,113,Περιοχή Ν,Area N,32
2024-03-14,114,Περιοχή Ξ,Area O,18
2024-03-15,115,Περιοχή Ο,Area P,25
2024-03-16,116,Περιοχή Π,Area Q,27
